LGA,total cars,total households,average per household,LGA,ABB_NAME,Lat,Long,,,,,,
Alpine,9175,4680,1.960470085,ALPINE,Alpine,-36.52678332,146.6854467,TRUE,,,,,
Ararat,7984,3883,2.056142158,ARARAT,Ararat,-37.2833,142.9167,TRUE,,,,,
Ballarat,65523,34614,1.892962385,BALLARAT,Ballarat,-37.5609,143.855,TRUE,,,,,
Banyule,77534,40745,1.902908332,BANYULE,Banyule,-37.7333,145.0833,TRUE,,,,,
Bass Coast,22079,12184,1.812130663,BASS COAST,Bass Coast,-38.5333,145.5333,TRUE,,,,,
Baw Baw,34684,16412,2.113331709,BAW BAW,Baw Baw,-37.95,146.1167,TRUE,,,,,
Bayside,61668,32558,1.894096689,BAYSIDE,Bayside,-37.88654761,144.9916483,TRUE,,,,,
Benalla,10040,5069,1.980666798,BENALLA,Benalla,-36.5519,145.9817,TRUE,,,,,
Boroondara,100529,54209,1.85447066,BENDIGO,Boroondara,-37.817,145.067,TRUE,,,,,
Brimbank,109775,54737,2.005499023,BOROONDARA,Brimbank,-37.75,144.8,TRUE,,,,,
Buloke,4889,2221,2.201260693,BRIMBANK,Buloke,-36,142.9878,TRUE,,,,,
Campaspe,26706,12670,2.107813733,BULOKE,Campaspe,-36.3611,144.7339,TRUE,,,,,
Cardinia,63300,29359,2.156067986,CAMPASPE,Cardinia,-38.083,145.583,TRUE,,,,,
Casey,184064,86656,2.124076809,CARDINIA,Casey,-38.09,145.323,TRUE,,,,,
Central Goldfields,9439,4838,1.951012815,CASEY,Central Goldfields,-37.05,143.7333,TRUE,,,,,
Colac-Otway,14728,7341,2.006266176,CENTRAL GOLDFIELDS,Colac-Otway,-38.3333,143.5833,TRUE,,,,,
Corangamite,12327,5551,2.220680958,COLAC OTWAY,Corangamite,-38.2333,143.15,TRUE,,,,,
Darebin,77401,45989,1.683032899,CORANGAMITE,Darebin,-37.733,145.017,TRUE,,,,,
East Gippsland,31390,16102,1.949447274,DANDENONG,East Gippsland,-37.4833,148.1667,TRUE,,,,,
Frankston,86665,45075,1.922684415,DAREBIN,Frankston,-38.1414,145.1225,TRUE,,,,,
Gannawarra,8195,3838,2.135226681,EAST GIPPSLAND,Gannawarra,-35.7167,143.9167,TRUE,,,,,
Glen Eira,81518,46380,1.757611039,FRANKSTON,Glen Eira,-37.733,145.05,TRUE,,,,,FALSE
Glenelg,14469,7007,2.064935065,GANNAWARRA,Glenelg,-38,141.6667,TRUE,,,,,
Golden Plains,17154,6911,2.482129938,GEELONG,Golden Plains,-38.0167,143.9667,TRUE,,,,,
Greater Bendigo,74958,37736,1.986379054,GLEN EIRA,Greater Bendigo,-36.7593,144.284,TRUE,,,,,
Greater Dandenong,81193,42297,1.919592406,GLENELG,Greater Dandenong,-37.9875,145.2149,TRUE,,,,,
Greater Geelong,150273,79060,1.900746269,GOLDEN PLAINS,Greater Geelong,-38.15,144.35,TRUE,,,,,
